Sr,Date,month,year,Index,Open,High,Low,Close,Volume,Adjusted,RSI,pSAR
1283,03-02-2012,Feb,2012,TM,76.459999,76.769997,76.269997,76.470001,501200,67.225586,73.63,306.8763
1284,06-02-2012,Feb,2012,TM,77.580002,78.080002,77.400002,77.709999,662900,68.315674,75,303.27419
1285,07-02-2012,Feb,2012,TM,79.480003,80,79,79.610001,1041100,69.985992,72.01,299.96026
1286,08-02-2012,Feb,2012,TM,81.059998,81.150002,80.639999,81.050003,1049400,71.2519,73.43,296.91144
1287,09-02-2012,Feb,2012,TM,81.339996,81.5,80.610001,80.879997,701400,71.102455,75.24,294.10652
1288,10-02-2012,Feb,2012,TM,78.940002,79.040001,78.160004,78.389999,707800,68.91346,71.58,289.95087
1289,13-02-2012,Feb,2012,TM,78.800003,79.160004,78.779999,78.910004,377800,69.370613,71.99,286.21079
1290,14-02-2012,Feb,2012,TM,79.870003,80,79.57,80,573700,70.328835,73.24,282.84471
1291,15-02-2012,Feb,2012,TM,82.900002,83.089996,82.379997,82.559998,954300,72.579353,77.99,279.81524
1292,16-02-2012,Feb,2012,TM,83.010002,83.720001,82.839996,83.650002,1599600,73.537613,76.72,277.08871
1293,17-02-2012,Feb,2012,TM,83.75,83.800003,83.120003,83.360001,305600,73.282654,78.33,276.39999
1294,21-02-2012,Feb,2012,TM,83.169998,83.489998,82.860001,83.220001,383900,73.159592,79.84,274.01499
1295,22-02-2012,Feb,2012,TM,83.980003,84.360001,83.93,84.309998,498900,74.11779,67.75,271.1932
1296,23-02-2012,Feb,2012,TM,83.879997,84.110001,83.360001,84.07,360700,73.906807,65.43,268.71001
1297,24-02-2012,Feb,2012,TM,84.209999,84.900002,84.209999,84.540001,567600,74.32,60.03,265.71261
1298,27-02-2012,Feb,2012,TM,82.989998,83.849998,82.769997,83.599998,387800,73.493629,48.26,263.13485
1299,28-02-2012,Feb,2012,TM,84.239998,84.809998,84.099998,84.650002,368500,74.416702,54.39,260.91797
1300,29-02-2012,Feb,2012,TM,83.629997,83.93,82.68,82.709999,505400,72.71122,54.98,247.3
1301,01-03-2012,Mar,2012,TM,82.57,83.379997,82.510002,83.07,546000,73.027695,51.61,247.629
1302,02-03-2012,Mar,2012,TM,81.410004,81.589996,80.830002,81.57,836600,71.709045,52.95,247.95142
1303,05-03-2012,Mar,2012,TM,81.379997,81.449997,80.889999,81.239998,524300,71.41893,46.88,248.26739
1304,06-03-2012,Mar,2012,TM,80.309998,80.32,79.699997,80.150002,611700,70.460701,42.99,249.1247
1305,07-03-2012,Mar,2012,TM,80.43,80.809998,80.269997,80.720001,339000,70.961792,42.86,250.47622
1306,08-03-2012,Mar,2012,TM,82.18,82.550003,82.059998,82.519997,452400,72.544197,#N/A,271.64999
1307,09-03-2012,Mar,2012,TM,83.449997,83.940002,83.339996,83.809998,503000,73.678246,51.88,271.21699
1308,12-03-2012,Mar,2012,TM,83.18,83.18,82.610001,82.779999,271400,72.772766,53.69,270.79265
1309,13-03-2012,Mar,2012,TM,83.099998,83.989998,83.089996,83.970001,308000,73.818916,58.24,270.3768
1310,14-03-2012,Mar,2012,TM,84.059998,84.199997,83.309998,83.540001,344700,73.440887,60.3,269.96927
1311,15-03-2012,Mar,2012,TM,85.099998,85.43,84.790001,85.339996,591300,75.023285,53.41,269.56988
1312,16-03-2012,Mar,2012,TM,85.769997,85.849998,85.339996,85.400002,368200,75.076027,48.89,269.17848
1313,19-03-2012,Mar,2012,TM,85.199997,85.290001,84.790001,85.239998,316100,74.935371,44.91,268.79491
